Date,NGDP,WSGDP,Tax,DCPS,AGRO,GREV,GEXP,indexInstitute,indexBureau,indexPayment,indexDemocracy,NPLa,NPLp,SID,Unempl,bvQ1,bvQ2,bvQ3,M2,M1,M0,CH,DR,CM,vTax
2008 Q4,55816.5,26.3035269072763,15.7236561788035,13.7738524922404,34.0121784263315,13834.8902371076,13370.3093129513,-2.31724395642304,-0.524369530302804,-1.92665255188027,-1.84044746898836,140.4692,1.55663391573885,7538.36,8.2,0,0,0,33720.77980137,33720.77980137,29385.10663,939.45091974863,7.71361908540823,87.142429098885,8776.39455104183
2009 Q1,33859,26.8504055621037,15.2417531562079,13.7624600813892,33.6146201940493,9842.8841,10195.0155,-2.3368753858923,-0.503803102779566,-1.87964923138108,-1.8736312585578,198.9939,2.23828079827909,7791.67325,8.25386044621535,1,0,0,33370.68348563,33370.68348563,24590.5563201,899.020746782449,8.38166617662773,73.6890999870863,5160.70520116044
2009 Q2,43691.9,27.397284216931,14.7598501336124,13.7510676705381,33.2170619617671,15132.7522625714,14820.1727695271,-2.35650681536156,-0.483236675256328,-1.83264591088189,-1.90681504812725,239.1363,2.61287587550561,8044.9865,8.3077208924307,0,1,0,37798.60615076,37798.60615076,27894.718697,1094.84064412782,8.10065381628186,73.798273369504,6448.85896052779
2009 Q3,61911.2,27.9441628717584,14.2779471110169,13.7396752596869,32.8195037294849,17603.1295499075,18139.325518079,-2.37613824483081,-0.462670247733091,-1.7856425903827,-1.93999883769669,248.2869,2.68509255720122,8298.29975,8.36158133864605,0,0,1,39497.56186126,39497.56186126,29448.7845223,1171.07148491788,7.69149811656722,74.5584869915324,8839.64839179588
2009 Q4,61760.8,28.4910415265857,13.7960440884213,13.7282828488358,32.4219454972027,17075.7050202334,17972.9592036266,-2.39576967430007,-0.442103820209853,-1.73863926988351,-1.97318262726613,249.7133,2.61619279465332,8551.613,8.41544178486141,0,0,0,40945.18666608,40945.18666608,33882.32731791,1204.11117843319,7.78535048219327,82.7504526825835,8520.54719736173
2010 Q1,42032,28.7612460452226,13.5632705367804,13.7073323409554,32.1057223673068,13946.6992,12855.7294,-2.3722655012042,-0.370439476718802,-1.73070011534455,-1.86699392000563,236.4218,2.21196458458532,8504.05615751,8.47251694264946,1,0,0,43989.66972983,43989.66972983,32563.14994569,1130.94154145637,8.0824825480559,74.0245383647618,5700.91387201952
2010 Q2,45491.3,29.0314505638594,13.3304969851394,13.6863818330751,31.7894992374109,14129.8556444059,14786.8360100168,-2.34876132810832,-0.298775133227751,-1.72276096080559,-1.76080521274513,373.4329,3.42211792310698,8456.49931502,8.52959210043752,0,1,0,46094.35261614,46094.35261614,35341.28521988,1124.70859019515,7.7737839312121,76.6716163999344,6064.21637500071
2010 Q3,62221.8,29.3016550824963,13.0977234334984,13.6654313251947,31.473276107515,17044.3338045794,19280.6387347006,-2.32525715501245,-0.227110789736699,-1.71482180626662,-1.65461650548463,357.4559,3.07493871428719,8408.94247253,8.58666725822558,0,0,1,50780.67363059,50780.67363059,38388.66411501,1223.72891108918,8.1900885981792,75.5969965941627,8149.6392793445
2010 Q4,70624.2,29.5718596011332,12.8649498818574,13.6444808173144,31.1570529776191,18592.1414435887,22043.0753137083,-2.30175298191657,-0.155446446245648,-1.70688265172766,-1.54842779822413,287.7644,2.46687341246101,8361.38563004,8.64374241601364,0,0,0,50299.17296687,50299.17296687,41471.15219674,1211.2775554593,8.41324897538795,82.448974308296,9085.76793446274
2011 Q1,50690.9,29.4185499884116,12.9991198220251,13.1054287726893,31.0542717106477,15356.1698,13845.5534,-2.27975426635788,-0.106476226886145,-1.6384199155358,-1.34285387052341,311.2352,2.53671032792499,9489.70072253,8.61534475593182,1,0,0,52325.50888736,52325.50888736,39014.40258648,1322.48166127456,8.17147747183213,74.5609615961222,6589.37082986294
2011 Q2,62279.4,29.2652403756899,13.1332897621929,12.5663767280641,30.9514904436763,20098.8368467769,20235.0784196914,-2.25775555079918,-0.0575060075266418,-1.56995717934393,-1.13727994282269,355.8531,2.59690890330913,10618.01581502,8.58694709585,0,1,0,59584.41913168,59584.41913168,43459.65710476,1364.36022284948,7.80749653261287,72.9379554891947,8179.33406415515
2011 Q3,88284.3,29.1119307629683,13.2674597023606,12.027324683439,30.8487091767049,24300.2676782317,26405.4303959321,-2.23575683524049,-0.0085357881671386,-1.50149444315207,-0.931706015121974,367.6163,2.58656133683999,11746.33090751,8.55854943576819,0,0,1,59451.11330448,59451.11330448,44235.96602243,1344.30875445001,8.27957096183537,74.4072962870765,11713.0839260111
2011 Q4,84734.5,28.9586211502466,13.4016296425283,11.4882726388139,30.7459279097335,23074.8498233786,27123.212865126,-2.2137581196818,0.0404344311923645,-1.43303170696021,-0.726132087421257,243.0705,1.74006607541385,12874.646,8.53015177568637,0,0,0,58656.95396526,58656.95396526,47219.56566986,1365.06482136451,7.93507777792832,80.5012236022793,11355.8038694482
2012 Q1,55495.5,29.2187412042383,13.8894352970008,11.9589809642662,30.582189109347,17404.2071,18350.8663,-2.17897282384707,0.0439847571305915,-1.35725900020565,-0.555765617598808,257.0023,1.78563199005702,12907.48075,8.49761383176478,1,0,0,63503.08512367,63503.08512367,46029.85005618,1348.73693082005,8.36728295466918,72.484431215489,7708.01156524709
2012 Q2,68012.1,29.4788612582299,14.3772409514733,12.4296892897185,30.4184503089605,22458.5196007564,24611.0274321539,-2.14418752801234,0.0475350830688186,-1.28148629345109,-0.385399147776359,246.5596,1.62011924323014,12940.3155,8.46507588784318,0,1,0,69500.10735908,69500.10735908,48544.12586227,1300.17847180632,8.27268043011979,69.8475552152192,9778.26349315698
2012 Q3,91709.2,29.7389813122216,14.8650466059458,12.9003976151708,30.254711508574,26773.1598999188,31712.9936169857,-2.10940223217761,0.0510854090070457,-1.20571358669653,-0.21503267795391,237.8306,1.50314592676133,12973.15025,8.43253794392159,0,0,1,71351.03181281,71351.03181281,50577.17870793,1381.29235320822,8.06721312258008,70.8849997300945,13632.61532194
2012 Q4,95254.5000000001,29.9991013662132,15.3528522604183,13.3711059406232,30.0909727081875,26694.6239315758,32902.0218045349,-2.07461693634288,0.0546357349452727,-1.12994087994197,-0.0446662081314613,229.0419,1.23420217881003,13005.985,8.4,0,0,0,75368.22649502,75368.22649502,54521.17273618,1471.92519799621,7.90083881296622,72.3397315708132,14624.2826564001
2013 Q1,62495.8,29.5742958806781,15.4541916458421,13.9439530726495,30.4858168046714,21356.271801893,18321.1250578512,-2.06713022208719,0.0656606440156203,-1.00391342497075,0.0161780583202495,471.1088,2.39638674560715,12723.432,8.375,1,0,0,78830.17642014,78830.17642014,53323.25390503,1445.33109033485,7.57878111142642,67.6432000111656,9658.2207026022
2013 Q2,76796.3,29.1494903951429,15.555531031266,14.5168002046758,30.8806609011552,25713.3046159649,26460.6022907573,-2.05964350783151,0.076685553085968,-0.877885969999524,0.0770223247719612,393.3732,1.71697354145524,12440.879,8.35,0,1,0,83915.21231713,83915.21231713,57601.0948206,1532.34020482134,8.08676967227803,68.6420176152514,11946.0722773641
2013 Q3,102948.9,28.7246849096078,15.6568704166898,15.0896473367022,31.275504997639,30330.7217898749,30335.1437384211,-2.05215679357583,0.0877104621563155,-0.751858515028302,0.137866591223672,434.6527,1.78965859953367,12158.326,8.325,0,0,1,85177.61458232,85177.61458232,58424.4433861,1506.82972503456,7.46732055602799,68.591312016182,16118.5758684075
2013 Q4,107787.4,28.2998794240726,15.7582098021136,15.6624944687285,31.6703490941228,30926.2597490835,31633.2687373498,-2.04467007932014,0.0987353712266631,-0.625831060057081,0.198710857675383,425.9526,1.7012838573691,11875.773,8.3,0,0,0,88656.70019303,88656.70019303,61907.23482517,1489.06532766979,7.27304131690275,69.8280385919857,16985.3646322434
2014 Q1,69449.1,27.9347242895127,15.8226728846354,16.7598616915084,31.6489271916783,22743.2189,20753.7278,-2.02420069268384,0.12644624389459,-0.497101485797615,0.340911242105992,440.1196,1.57592515263942,11997.38875,8.225,1,0,0,87369.36812407,87369.36812407,56227.47767697,1472.73512056124,7.79144361453673,64.3560539400073,10988.7039143233
2014 Q2,84316.6,27.5695691549529,15.8871359671571,17.8572289142883,31.6275052892337,26974.2580943344,28244.9877798376,-2.00373130604755,0.154157116562518,-0.368371911538149,0.483111626536601,429.5202,1.34522206500028,12119.0045,8.15,0,1,0,90856.07225936,90856.07225936,61243.98548885,1501.1084578174,7.41842655534486,67.407696553315,13395.492884884
2014 Q3,116879.1,27.204414020393,15.9515990496789,18.9545961370682,31.6060833867891,35731.6427383989,35113.1066140762,-1.98326191941125,0.181867989230445,-0.239642337278683,0.62531201096721,419.4735,1.29842039702837,12240.62025,8.075,0,0,1,84429.75485036,84429.75485036,57875.92029717,1341.26649289568,7.89479954831066,68.5491985612738,18644.0854048732
2014 Q4,130049.2,26.8392588858331,16.0160621322006,20.0519633598482,31.5846614843445,38761.5770624582,39370.3031545021,-1.96279253277495,0.209578861898372,-0.110912763019217,0.767512395397819,373.3031,1.11890815469077,12362.236,8,0,0,0,77245.46278574,77245.46278574,51904.12517282,1146.93869042,7.70892877674581,67.1937526179231,20828.7606744299
2015 Q1,80778.2,26.8826069600209,15.4228390600101,20.7427885882713,31.0154536639518,23581.7578,23064.1347,-1.9844448844217,0.229452335826135,0.044469876155821,0.685885959205435,458.603,1.12746647966481,13142.6065,7.9,1,0,0,76462.73035033,76462.73035033,45010.6406476,1119.79766158,8.74432098830863,58.8661174422811,12458.2917815731
2015 Q2,94092.2,26.9259550342087,14.8296159878196,21.4336138166945,30.4462458435591,32235.1669292569,29727.2059575559,-2.00609723606844,0.249325809753897,0.199852515330859,0.604259523013052,503.5948,1.20144041310051,13922.977,7.8,0,1,0,82049.85944657,82049.85944657,51626.05827056,1034.58876573,8.46688789166208,62.9203494299443,13953.5119344912
2015 Q3,123446.1,26.9693031083965,14.2363929156291,22.1244390451176,29.8770380231665,37215.2954131932,35880.4611946179,-2.02774958771519,0.26919928368166,0.355235154505898,0.522633086820667,554.1922,1.31858291446244,14703.3475,7.7,0,0,1,81981.50179011,81981.50179011,53835.1920309,1018.94773898,8.51678050356262,65.6674870005791,17574.2718350205
2015 Q4,132172.9,27.0126511825843,13.6431698434387,22.8152642735408,29.3078302027738,39429.6051576202,41317.6275555069,-2.04940193936193,0.289072757609422,0.510617793680936,0.441006650628283,547.3636,1.29660111362607,15483.718,7.6,0,0,0,73436.26188803,73436.26188803,53117.95523935,929.42955876,9.57519291246495,72.3320521411346,18032.5732339983
2016 Q1,82516.7,27.3602042333913,14.0406624581735,22.2647965689546,28.6790577009444,32383.6643,29672.1248,-2.01305233510369,0.237454094723133,0.626015450423546,0.50832579706287,731.877,1.50804102068067,17197.90075,7.5,1,0,0,93014.1124746,93014.1124746,52882.81801392,926.47336671,8.81336233673869,56.8546176563917,11585.8913186236
2016 Q2,105001.8,27.7077572841983,14.4381550729082,21.7143288643683,28.050285199115,34620.766631599,41553.3257126614,-1.97670273084544,0.185835431836844,0.741413107166156,0.575644943497456,824.4049,1.63304381689419,18912.0835,7.4,0,1,0,102350.24562871,102350.24562871,61204.01284472,1092.57440981,8.54051711537643,59.7985988883175,15160.322713345
2016 Q3,139395.8,28.0553103350052,14.835647687643,21.1638611597821,27.4215126972857,39173.2889318466,46315.8654092929,-1.9403531265872,0.134216768950555,0.856810763908767,0.642964089932041,958.0731,1.85181022759982,20626.26625,7.3,0,0,1,107326.5587715,107326.5587715,64901.73920413,1179.95276274,8.9205535550303,60.4712756535005,20680.2697793715
2016 Q4,149416.9,28.4028633858122,15.2331403023778,20.6133934551959,26.7927401954563,40987.4075506371,47536.5218947465,-1.90400352232895,0.0825981060642658,0.972208420651377,0.710283236366628,1029.2737,1.98414201491638,22340.449,7.2,0,0,0,110918.12116915,110918.12116915,69338.75984132,1261.66453806,8.0410886659711,62.5134640854387,22760.8860124636
2017 Q1,94072.4,27.997878371139,15.1994579088667,20.8104127621505,25.8511900564255,31027.2828,31841.112,-1.84546608853399,0.0511482368756859,1.09882906753103,1.00881422470764,1065.2303,2.01245563518308,24490.60675,7.125,1,0,0,120138.14245845,120138.14245845,67669.21150995,1139.01036432,8.05208960574881,56.3261676310282,14298.4948418607
2017 Q2,115331.6,27.5928933564658,15.1657755153555,21.0074320691051,24.9096399173947,38479.9498790023,40668.2167964209,-1.78692865473903,0.0196983676871061,1.22544971441067,1.30734521304865,1076.9618,1.80793642069544,26640.7645,7.05,0,1,0,131377.9827271,131377.9827271,76588.70077758,1175.46716401,8.03819626294499,58.2964505831019,17490.9315542677
2017 Q3,151977.4,27.1879083417926,15.1320931218443,21.2044513760597,23.9680897783639,44998.4014835176,47725.8789922696,-1.72839122094408,-0.0117515015014737,1.35207036129032,1.60587620138966,1137.3436,1.77698436246368,28790.92225,6.975,0,0,1,137533.6506218,137533.6506218,81402.7753031,1332.87947277,7.7087214384281,59.1875333309862,22997.3616921578
2017 Q4,169094.3,26.7829233271194,15.0984107283331,21.4014706830143,23.0265396393331,47669.7075398394,52921.6442629084,-1.66985378714912,-0.0432013706900536,1.47869100816997,1.90440718973067,1091.6953,1.62439391577716,30941.08,6.9,0,0,0,136650.3299019,136650.3299019,84450.94475969,1457.06018223,8.26521621339511,61.8007617107961,25530.5519321997
2018 Q1,105149,26.6037912642582,15.3601500260962,21.8948060352818,22.3349624419867,32386.1603,31336.0077,-1.65389506709636,-0.00449006935825344,1.65369537871184,1.9552533980583,1113.7346,1.63727238805981,34357.32,6.725,1,0,0,142541.05791749,142541.05791749,78306.57192958,1335.98827668,7.20541817444283,54.936151782252,16151.0441509398
