Date,NGDP,WSGDP,COFS,Tax,DR,DCPS,AGRO,GREV,GEXP,taxProfit,energyTotal,energyPopul,energyPrice,indexInstitute,indexNonDemocratic,indexBureau,pcUpward1,pcUpward2,pcDownward,indexPayment,indexDemocracy,UNEMPL,INFL,bvQ1,bvQ2,bvQ3,bvCrisis,M2,M0,CH,NPLa,NPLp,SID,CM,vTax
2008 Q4,10618.8682701343,49,3880.622,19.1,6.7,41.5540438231948,8.5,9275.93131009224,7570.87892397337,854.37988075,1022746.2,117134,1284,-1.91945076824691,0.108073262190975,-0.211302100532611,0.119588219554026,-0.217216163094371,0.033011458211831,-2.96671813206606,-0.683009836952759,7.13333333333333,2.44961111569999,0,0,0,0,12975.9,3794.8,411748,353.220607,2.54545184719191,1499.824,29.9063802896138,2028.20383959565
2009 Q1,8334.63278188157,58,3777.956,14.7,7.8,42.4807601917564,8.45,8791.38611297765,8093.17444638769,811.6648511875,1011340.25,118131.425,1350.75,-1.93200554268383,0.0802274187931978,-0.163407110185998,0.0767387528028253,-0.200463593446069,0.0362697110721045,-2.92798460145121,-0.909628053087389,9.1,5.42227927550001,1,0,0,0,11581.6,3278.3,368065,511.478232,3.65632785515814,1475.152,32.6203287974028,1225.19101893659
2009 Q2,9244.82882074237,54.5,3258.771,15.9,8.7,43.407476560318,8.4,8306.84091586306,8615.46996880201,768.949821625,999934.3,119128.85,1417.5,-1.94456031712075,0.0523815753954202,-0.115512119839385,0.0338892860516245,-0.183711023797766,0.0395279639323781,-2.92297537078012,-1.13624626922202,8.53333333333333,1.87151659799998,0,1,0,0,12650.5,3522.5,395891,630.147342,4.53502631097021,1529.309,25.760017390617,1469.92778249804
2009 Q3,10411.3339559884,49.2,3507.605,17.7,9,44.3341929288796,8.35,7822.29571874846,9137.76549121633,726.2347920625,988528.35,120126.275,1484.25,-1.95711509155767,0.0245357319976427,-0.0676171294927713,-0.00896018069957611,-0.166958454149464,0.0427862167926516,-2.84814694392222,-1.36286448535665,7.83333333333333,0.599810999999995,0,0,1,0,13101.9,3485.6,394518,766.63429,5.51847033147466,1763.268,26.7717277646754,1842.80611020994
2009 Q4,10816.4230163438,50.1,3470.534,18.1,8.7,45.2609092974413,8.3,7337.75052163387,9660.06101363065,683.5197625,977122.4,121123.7,1551,-1.96966986599459,-0.00331011140013482,-0.0197221391461581,-0.0518096474507768,-0.150205884501162,0.0460444696529251,-2.73839733697206,-1.58948270149128,8.03333333333333,0.70118899999998,0,0,0,0,15267.6,4038.1,416653,835.134835,6.01851205643555,2094.731,22.7313657680317,1957.77256595823
2010 Q1,9995.75825875646,52.9,4023.385,17.6,7.4,44.6556932853822,8.15,7579.66648291312,9774.40937686731,719.45246925,987999.925,122616.4,1548,-1.96028557439762,-0.00411740152771251,-0.0279205301564434,-0.0510523843063061,-0.155337604430786,0.0445788464745221,-2.65222614430856,-1.64095534150325,8.8,3.15994285519998,1,0,0,0,15639.4,3986.1,423321,871.640647,6.22907027304626,2177.067,25.7259549599089,1759.25345354114
2010 Q2,10977.0352607229,51.3,3969.341,18.3,6.2,44.0504772733232,8,7821.58244419237,9888.75774010397,755.385176,998877.45,124109.1,1545,-1.95090128280064,-0.00492469165529022,-0.0361189211667286,-0.0502951211618354,-0.160469324360411,0.043113223296119,-2.29342942135149,-1.69242798151523,7.43333333333333,1.18453665499998,0,1,0,0,16900.9,4367.7,432994,921.33866,6.36795781578604,2228.749,23.4859741197214,2008.79745271229
2010 Q3,12086.4639587802,48,4351.504,17.6,5.4,43.4452612612642,7.85,8063.49840547161,10003.1061033406,791.31788275,1009754.975,125601.8,1542,-1.94151699120367,-0.00573198178286786,-0.044317312177014,-0.0495378580173646,-0.165601044290036,0.0416476001177159,-2.0443625628459,-1.7439006215272,6.8,1.759640632,0,0,1,0,17690.2,4524.5,458319,942.867226,6.21421462934073,2498.32,24.5983878079389,2127.21765674531
2010 Q4,13249.2837114363,47.4,4509.157,17.7,5,42.8400452492052,7.7,8305.41436675086,10117.4544665773,827.2505895,1020632.5,127094.5,1539,-1.93213269960669,-0.00653927191044553,-0.0525157031872993,-0.0487805948728939,-0.17073276421966,0.0401819769393128,-1.91665693689619,-1.79537326153917,6.9,2.40824173999998,0,0,0,0,20011.9,5062.7,443591,886.187919,5.50273684235463,2940.392,22.5323782349502,2345.12321692422
2011 Q1,13024.7995390248,46.4,5049.876,13.9,4.4,42.5546854323958,7.7,9070.97393072757,10319.4952045173,865.599391,1025754.9,128043.2,1632.7775,-1.93241109710151,-0.0163837284724908,-0.037044658432612,-0.0612177784476513,-0.158567982234065,0.0386099054004045,-1.8511173937984,-1.82318847574941,7.5,3.80813061320002,1,0,0,0,19788.7,4918.2,465455,891.477343,5.31779790265238,3219.603,25.5189881093756,1810.44713592445
