Date,NGDP,WSGDP,Tax,DCPS,AGRO,GREV,GEXP,indexInstitute,indexBureau,indexDemocracy,NPLp,SID,Unempl,bvQ1,bvQ2,bvQ3,vTax
2010 Q1,544364,29.5548805095255,15.075574431814,25.752482626968,31.5975802185767,183711.60625,238663.75625,-1.15686204098136,-0.137015183339628,-1.93548166270477,5.55496878224405,150955.4,18.1,1,0,0,82066
2010 Q2,735781,29.1643425228345,13.8490936841261,26.6500432845773,33.9292676763736,189499.1625,240431.1875,-1.17852049086977,-0.0913645727045834,-1.92365657774369,4.77832457569064,146475.7,19.5,0,1,0,101899
2010 Q3,1048797,28.7738045361434,9.86759115443694,27.5476039421866,36.2609551341706,195286.71875,242198.61875,-1.20017894075818,-0.0457139620695393,-1.91183149278261,4.4091507812215,165368.9,17.6,0,0,1,103491
2010 Q4,1131261,28.3832665494523,8.98731592444184,28.4451645997959,38.5926425919676,201074.275,243966.05,-1.2218373906466,-0.0000633514344951791,-1.90000640782153,3.04141129948019,180266.3,17.8,0,0,0,101670
2011 Q1,604314.55,28.4594494255198,15.0530009578621,30.1758454178557,38.6755686599999,207435.175,246318.28125,-1.18828474407503,-0.000320050625441895,-1.66297833912639,3.51327496160109,185372.9,20.7,1,0,0,90967.475
2011 Q2,796387.025,28.5356323015873,13.4359201796388,31.9065262359155,38.7584947280321,213796.075,248670.5125,-1.15473209750347,-0.00057674981638859,-1.42595027043124,3.37056617102139,185592.6,19.2,0,1,0,107001.925
2011 Q3,1127365.825,28.6118151776548,9.87577169105689,33.6372070539752,38.8414207960644,220156.975,251022.74375,-1.1211794509319,-0.000833449007335257,-1.1889222017361,4.78391104493359,199911.2,17.2,0,0,1,111336.075
2011 Q4,1205994.4,28.6879980537223,9.05029492674261,35.367887872035,38.9243468640967,226517.875,253374.975,-1.08762680436034,-0.00109014819828196,-0.951894133040953,3.42109151341693,216208.8,16.5,0,0,0,109146.05
2012 Q1,724215.65,28.2621156552634,15.0190657989785,36.5409296801929,38.5128372285636,230831.9375,254840.25625,-1.04890008235875,-0.0662708826133017,-0.919282547028882,4.9282955946498,219415.8,20.1,1,0,0,108770.425
2012 Q2,917599.075,27.8362332568044,12.773310064638,37.7139714883509,38.1013275930306,235146,256305.5375,-1.01017336035717,-0.131451617028322,-0.88667096101681,4.44023011151629,217213.4,17.4,0,1,0,117207.775
2012 Q3,1284503.475,27.4103508583455,9.88913050624483,38.8870132965088,37.6898179574976,239460.0625,257770.81875,-0.971446638355577,-0.196632351443341,-0.854059375004739,5.14397132575833,233273.1,16,0,0,1,127026.225
