Date,NGDP,WSGDP,COFS,Slr,AGRO,GREV,GEXP,taxProfit,CH,SID,SED,NPLa,NPLp,indexInstitute,indexBureau,indexPayment,indexDemocracy,Unempl,INFL,RealInc,bvQ1,bvQ2,bvQ3,M2,M0,DR,CM,Tax
2011-1,5240.2235,28.0418497417143,1096.215,1469.4556,27.7128280779396,285.440978125,293.6679515625,567.8087,3895.75,3333.58,3740,679.864,15.042486931991,-1.71883158629554,0.147898512191855,-0.695240984289211,-1.11607600272903,5.5,3.74162749999996,67985.4337212127,1,0,0,7167.153,1097.141,6.4,15.2949853309954,10.8355817266191
2011-2,5999.8074,33.1710981255832,1190.752,1990.202,27.596631076008,302.18619375,308.763115625,737.846,3239.1,3162.37,3800,691.929,14.2367945325099,-1.68660615246983,-0.0442637512966703,-0.652173334183905,-0.821695106099302,5.4,1.30550749999996,70608.4221790033,0,1,0,7568.969,1191.674,5.5,15.7320237406178,12.2978280936151
2011-3,7424.9086,32.8552596593579,1260.644,2439.473,26.572547401424,318.931409375,323.8582796875,787.3009,2582.45,2884.07,4130,839.86,15.7719417708007,-1.65438071864411,-0.236426014785196,-0.603680733123951,-0.527314209469571,5.3,1.10390449999997,75938.2387538647,0,0,1,8006.9,1260.656,6.1,15.7444703942849,10.6035096512838
2011-4,9578.1132,34.730762004358,1365.598,3326.5517,25.9292213878113,335.676625,338.95344375,694.6514,1925.8,2605.77,4460,882.142,15.5248499286095,-1.62215528481839,-0.428588278273721,-0.548258957141861,-0.232933312839841,5.4,1.10360359999997,81564.1219158632,0,0,0,7967.502,1365.698,6.4,17.1396003414872,7.25248684678314
2012-1,6097.7299,27.5303830692796,1307.74,1678.7284,25.3721709923347,342.585646875,352.1677703125,634.7336,2501.225,2767.72,4380,914.052,15.4460998957701,-1.63990326393935,-0.455182591529637,-0.48342026387167,-0.155846985819606,5.4,1.00330359999996,76259.3393602081,1,0,0,8418.579,1307.762,6.3,15.5339755082182,10.4093426637346
2012-2,6751.2717,33.5095993840686,1389.314,2262.3241,25.9144178968365,349.49466875,365.382096875,729.164,3076.65,2838.8,4430,943.245,15.1356681351779,-1.6576512430603,-0.481776904785553,-0.439837382288732,-0.0787606587993712,5.3,1.70911469999997,79262.5496262995,0,1,0,8490.391,1389.424,6.4,16.3633688954961,10.8003948352427
2012-3,7999.731,32.6222731739355,1421.732,2609.6941,25.8433544489069,356.403690625,378.5964234375,713.8659,3652.075,2972.3,4635,949.155,14.4179392458295,-1.67539922218126,-0.508371218041469,-0.363678339643015,-0.00167433177913928,5.2,1.20450539999997,80804.3593884369,0,0,1,8481.616,1421.824,6.3,16.7625131814503,8.9236238068505
2012-4,10166.454,35.2419771928344,1528.027,3582.8594,25.0836801107397,363.3127125,391.81075,736.6678,4227.5,3098.6,4840,1001.468,14.2227794428753,-1.69314720130222,-0.534965531297385,-0.297468951388274,0.0754119952410956,5.3,2.01332939999999,83325.5947399768,0,0,0,8546.937,1528.077,6.7,17.8780655572868,7.24606436029711
2013-1,6966.935,27.2711113280087,1428.316,1899.9606,24.0031242321059,372.2087984375,400.9316765625,731.3012,4329.825,3143.08,4640,1039.73,14.3161932719826,-1.71135627849505,-0.53955423550961,-0.238363686912762,0.198484926235091,5.3,1.9106144,76663.3363182021,1,0,0,9055.289,1428.375,6.2,15.7732790195873,10.4967421111292
2013-2,7533.0572,33.4597220368909,1523.429,2520.54,24.2436785997816,381.104884375,410.052603125,896.1305,4432.15,3146.31,4710,1120.513,14.8410293210569,-1.72956535568788,-0.544142939721835,-0.168693612912419,0.321557857229083,5.2,0.802101799999977,79728.2312257806,0,1,0,9142.464,1523.517,6.1,16.6632212060119,11.8959736559547
2013-3,9268.0012,32.6255039759814,1453.462,3023.7321,24.7038543401916,390.0009703125,419.1735296875,898.2669,4534.475,3327.3,4905,1212.797,15.7622191616709,-1.74777443288071,-0.54873164393406,-0.0784361355958919,0.444630788223076,5.2,0.60120079999999,81019.4645731447,0,0,1,8766.907,1453.566,5.9,16.5789599456228,9.69213189139423
