Date,NGDP,WSGDP,COFS,Tax,DCPS,AGRO,GREV,GEXP,taxProfit,energyTotal,energyPopul,indexInstitute,indexBureau,indexPayment,indexDemocracy,iloUnempl,NPLa,NPLp,INFL,bvQ1,bvQ2,bvQ3,M2,M0,CH,SID,DR,CM,vTax
2009 Q4,3827.54,44.5633487827691,364.70301,17.7552683969338,35.9356304010168,10.8,765.945,791.1725,222.825,8725,1392,-2.53411621495592,-0.270790678211716,-1.77913009115165,-1.27101725987853,6.1,33.76,0.7,2.09245154314992,0,0,0,2073.70444,364.72328,2519.85833000038,250,19.8,17.5870294225729,679.59
2010 Q1,3290.84,52.0155948025428,368.1002,13.4600892173427,37.6545661276939,10.7,763.646875,807.6425,235.62625,8893.125,1412.0625,-2.53350995541044,-0.128894896623873,-1.69015750802407,-1.22969113179337,6.1075,28.09,0.55,2.45708375376268,1,0,0,2028.30459,368.12965,3024.4353800007,240,20,18.1481717201064,442.95
2010 Q2,3922.88,50.3173688718493,428.73708,14.0379007259972,39.3735018543709,10.6,761.34875,824.1125,248.4275,9061.25,1432.125,-2.53290369586495,0.0130008849639711,-1.51830708966254,-1.18836500370821,6.115,22.37,0.41,1.64561260050546,0,1,0,2311.3613,428.78354,3192.06403000035,230,18.5,18.5491156229015,550.69
2010 Q3,5000.57,42.6171416458524,475.85162,13.2804860245932,41.092437581048,10.5,759.050625,840.5825,261.22875,9229.375,1452.1875,-2.53229743631946,0.154896666551815,-1.36568753391323,-1.14703887562305,6.1225,30.65,0.5,2.52780744128787,0,0,1,2553.6938,475.89328,3472.1512399999,220,15.8,18.6338557896017,664.1
2010 Q4,4832.29,48.3731315794375,449.36963,15.2944049301677,42.8113733077251,10.4,756.7525,857.0525,274.03,9397.5,1472.25,-2.53169117677398,0.296792448139658,-1.16413112582216,-1.10571274753789,6.13,13.06,0.18,2.94682492029172,0,0,0,2642.50331,449.39023,1907.74247,210,15.2,17.0054519250536,739.07
2011 Q1,4660.53,51.5600157063682,457.45741,11.2751124872064,41.5981845724064,10.325,906.253125,967.480625,318.055625,9410.625,1486,-2.55461365701366,0.293658713574158,-1.17113888689011,-1.25598201116741,6.1225,21.8,0.27,6.11855208654581,1,0,0,2674.87288,457.50601,1337.51417,605,15.7,17.102024302553,525.48
2011 Q2,6461.96,42.5205355650608,633.40676,13.4700617150214,40.3849958370876,10.25,1055.75375,1077.90875,362.08125,9423.75,1499.75,-2.57753613725335,0.290524979008658,-1.06995541832257,-1.40625127479692,6.115,21.87,0.25,28.3718891585597,0,1,0,3252.83093,633.46288,1699.07808,1000,21.7,19.472477163146,870.43
2011 Q3,8611.72,38.3477400565741,772.61977,12.3776667146633,39.1718071017689,10.175,1205.254375,1188.336875,406.106875,9436.875,1513.5,-2.60045861749303,0.287391244443158,-0.995596939718173,-1.55652053842643,6.1075,18.89,0.2,28.0787034345517,0,0,1,3864.12933,772.70587,2239.38551593676,1395,33.6,19.9946664311052,1065.93
2011 Q4,10990.29,37.2204009175372,671.11219,13.2982842127005,37.9586183664502,10.1,1354.755,1298.765,450.1325,9450,1527.25,-2.62338109773271,0.284257509877658,-0.892087711978039,-1.70678980205595,6.1,18.2,0.18,19.60924111248,0,0,0,4335.46153,671.17553,4488.69836017944,1790,48.8,15.4796020067557,1461.52
2012 Q1,10621.92,45.0760314519409,719.81024,12.7814933646648,33.9133528840449,10.05,1610.95375,1573.34625,580.43125,9487.5,1541.0625,-2.55629925671545,0.235977527646398,-0.826517310819208,-1.38408158613311,6.095,22.22,0.21,5.01123508031689,1,0,0,4745.01394,719.92427,4311.13902986368,1987.5,47.2,15.1698235053025,1357.64
2012 Q2,13750.47,41.0907408983111,949.26589,13.8596717057671,29.8680874016396,10,1867.1525,1847.9275,710.73,9525,1554.875,-2.48921741569819,0.187697545415139,-0.745290324783381,-1.06137337021027,6.09,24.99,0.24,5.19614344795833,0,1,0,5661.79193,949.35134,3572.92898124997,2185,36.6,16.7661740617868,1905.77
2012 Q3,14797.06,42.8989948003184,1043.40931,13.5702632820304,25.8228219192342,9.95,2123.35125,2122.50875,841.02875,9562.5,1568.6875,-2.42213557468092,0.139417563183879,-0.604247785762943,-0.73866515428744,6.085,23.42,0.2,5.04831627700713,0,0,1,6078.59274,1043.57194,3326.35948000041,2382.5,31.7,17.1653103708343,2008
2012 Q4,15592.22,44.8088854569779,1130.64377,14.2585212368733,21.7775564368289,9.9,2379.55,2397.09,971.3275,9600,1582.5,-2.35505373366366,0.09113758095262,-0.384552791826317,-0.415956938364604,6.08,29.41,0.25,4.93997138656828,0,0,0,6866.94785,1130.72819,3240.1924249941,2580,39.6,16.4650117446283,2223.22
2013 Q1,13701.36,54.4556160848266,1180.83796,13.5398967693718,22.0647179580559,9.775,2445.935625,2473.2025,1031.72625,9567.3125,1586,-2.34357924511511,0.105074308700963,-0.239217448399772,-0.344314035691846,6.075,44,0.35,5.38277672881671,1,0,0,7223.04833,1180.98038,3369.59665568241,2630,37.9,16.3481940871909,1855.15
2013 Q2,16372.03,50.5663622654002,1383.57479,14.0269716095072,22.3518794792829,9.65,2512.32125,2549.315,1092.125,9534.625,1589.5,-2.33210475656657,0.119011036449306,0.000676336735388583,-0.272671133019087,6.07,46.35,0.37,1.51600873277649,0,1,0,8072.36987,1383.72602,3807.46333517281,3050,27.1,17.1396357238522,2296.5
2013 Q3,18573.68,48.3299486154602,1342.28119,13.3076482420285,22.63904100051,9.525,2578.706875,2625.4275,1152.52375,9501.9375,1593,-2.32063026801802,0.132947764197648,0.0942240680482249,-0.201028230346329,6.065,63.27,0.47,2.80004503429951,0,0,1,7910.73625,1342.40639,4146.63462208007,3240,34.9,16.96784152044,2471.72
2013 Q4,18421.78,49.883561740505,1230.12879,13.199538806782,22.926202521737,9.4,2645.0925,2701.54,1212.9225,9469.25,1596.5,-2.30915577946948,0.146884491945991,0.268641241642155,-0.129385327673572,6.06,89.51,0.67,5.90031620155096,0,0,0,7933.12044,1230.1997,3738.1765838158,3569.6,43.9,15.5062411985768,2431.59
2014 Q1,16670.21,54.0772431781003,1210.98285,14.2225562845339,23.1028174188634,9.4,2785.08,2793.52875,1235.229375,9480.375,1597.1875,-2.23726361680032,0.0835073541801678,0.41242867851878,0.198069000860579,6.04,150.86,1.09,4.93779460049895,1,0,0,8252.95292,1211.14864,2913.94055335003,3682.1,42,14.6733279801625,2370.93
2014 Q2,19125.68,51.7400165641169,1356.17916,13.4291695772386,23.2794323159897,9.4,2925.0675,2885.5175,1257.53625,9491.5,1597.875,-2.16537145413117,0.0201302164143443,0.576885864349213,0.525523329394729,6.02,122.44,0.87,4.99960757602995,0,1,0,8862.87352,1356.33661,3012.08808248647,4012.3,34.9,15.3017997711424,2568.42
